Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code,
Perl, 0, 0, 42, 6, 0, 0, 747, 60, 0, 0, 2842, 53, 0, 0, 4292, 452, 
Markdown, 0, 0, 1, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 34, 0, 
make, 0, 0, 17, 10, 0, 0, 308, 131, 0, 0, 952, 64, 0, 0, 986, 332, 
diff, 0, 0, 2, 2, 0, 0, 32, 8, 0, 0, 86, 20, 0, 0, 41, 11, 
YAML, 0, 0, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 
JSON, 0, 0, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3339, 0, 
CSV, 0, 0, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 17, 0, 
XSD, 0, 0, 0, 1, 0, 0, 0, 12, 0, 0, 0, 33, 0, 0, 0, 99, 
Drools, 0, 0, 0, 2, 0, 0, 0, 4, 0, 0, 0, 0, 0, 0, 0, 21, 
C/C++ Header, 0, 0, 67, 18, 0, 0, 1938, 147, 0, 0, 8206, 57, 0, 0, 5706, 575, 
XSLT, 0, 0, 1, 0, 0, 0, 27, 0, 0, 0, 106, 0, 0, 0, 326, 0, 
Java, 0, 0, 2636, 235, 0, 0, 48101, 4076, 0, 0, 150484, 6750, 0, 0, 293669, 21281, 
Groovy, 0, 0, 312, 15, 0, 0, 7037, 442, 0, 0, 9919, 114, 0, 0, 50874, 1766, 
Bourne Shell, 0, 0, 44, 9, 0, 0, 1495, 1400, 0, 0, 3646, 1045, 0, 0, 12181, 9866, 
HTML, 0, 0, 5, 2, 0, 0, 52, 3, 0, 0, 142, 67, 0, 0, 165, 19, 
m4, 0, 0, 3, 1, 0, 0, 85, 20, 0, 0, 1, 1, 0, 0, 733, 163, 
INI, 0, 0, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 90, 0, 
CSS, 0, 0, 1, 1, 0, 0, 196, 17, 0, 0, 49, 0, 0, 0, 941, 114, 
XML, 0, 0, 239, 66, 0, 0, 1822, 346, 0, 0, 4593, 1653, 0, 0, 21203, 3113, 
Bourne Again Shell, 0, 0, 5, 3, 0, 0, 76, 18, 0, 0, 160, 25, 0, 0, 318, 237, 
Ant, 0, 0, 44, 13, 0, 0, 396, 28, 0, 0, 1471, 452, 0, 0, 594, 384, 
C, 0, 0, 82, 29, 0, 0, 11835, 1798, 0, 0, 32028, 598, 0, 0, 69828, 8914, 
Python, 0, 0, 56, 0, 0, 0, 695, 0, 0, 0, 1768, 0, 0, 0, 3965, 0, 
Web Services Description, 0, 0, 4, 3, 0, 0, 525, 188, 0, 0, 298, 37, 0, 0, 3110, 1139, 
