Language, == files, != files, + files, - files, == blank, != blank, + blank, - blank, == comment, != comment, + comment, - comment, == code, != code, + code, - code,
XSLT, 1, 0, 0, 0, 27, 0, 0, 0, 106, 0, 0, 0, 326, 0, 0, 0, 
YAML, 1, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 16, 0, 0, 0, 
CSS, 1, 0, 0, 0, 196, 0, 0, 0, 49, 0, 0, 0, 941, 0, 0, 0, 
Bourne Again Shell, 5, 0, 0, 0, 76, 0, 0, 0, 160, 0, 0, 0, 318, 0, 0, 0, 
Web Services Description, 4, 0, 0, 0, 525, 0, 0, 0, 298, 0, 0, 0, 3110, 0, 0, 0, 
Markdown, 1, 0, 0, 0, 13, 0, 0, 0, 0, 0, 0, 0, 34, 0, 0, 0, 
m4, 2, 1, 0, 0, 53, 0, 0, 0, 1, 0, 0, 0, 732, 0, 1, 0, 
HTML, 5, 0, 0, 0, 52, 0, 0, 0, 142, 0, 0, 0, 165, 0, 0, 0, 
Bourne Shell, 43, 1, 0, 0, 510, 0, 0, 0, 3645, 1, 0, 0, 12172, 8, 1, 0, 
diff, 2, 0, 0, 0, 32, 0, 0, 0, 86, 0, 0, 0, 41, 0, 0, 0, 
CSV, 5, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 17, 0, 0, 0, 
JSON, 16, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 3339, 0, 0, 0, 
Groovy, 312, 0, 0, 0, 7037, 0, 0, 0, 9919, 0, 0, 0, 50874, 0, 0, 0, 
Perl, 42, 0, 0, 0, 747, 0, 0, 0, 2842, 0, 0, 0, 4292, 0, 0, 0, 
make, 16, 1, 0, 0, 300, 0, 0, 0, 952, 0, 0, 0, 983, 1, 2, 0, 
C/C++ Header, 64, 3, 0, 0, 1730, 0, 0, 0, 8206, 0, 0, 0, 5703, 0, 3, 1, 
Java, 2603, 33, 0, 0, 46319, 0, 13, 10, 150473, 10, 1, 8, 293286, 162, 221, 43, 
Ant, 44, 0, 0, 0, 396, 0, 0, 0, 1471, 0, 0, 0, 594, 0, 0, 0, 
INI, 6, 0, 0, 0, 2, 0, 0, 0, 0, 0, 0, 0, 90, 0, 0, 0, 
C, 77, 5, 0, 0, 9456, 0, 10, 3, 32010, 0, 18, 7, 69757, 3, 68, 13, 
Python, 54, 1, 1, 0, 606, 0, 34, 0, 1699, 0, 69, 0, 3826, 1, 138, 0, 
XML, 235, 0, 4, 0, 1822, 0, 0, 0, 4593, 0, 0, 0, 21126, 0, 77, 0, 
